FP1,FP2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T3,T4,T5,T6,FZ,CZ,PZ,"ECG
[E1]"
-52.466293,-1.109808,-164.60603,-1.2197363,125.5328,10.838525,0.0,-1.0223882,187.78365,-1.1194584,-129.04929,-0.8587661,114.241844,-0.5534229,1.1420158,-1.140449,-26.56056,-0.012291139,155.5308,-0.09175815
-50.648792,-0.99583244,-196.15811,-1.1572615,99.7196,10.711433,0.0,-0.91634035,167.37346,-1.0754961,-145.86128,-0.783875,96.40409,-0.48626822,-14.064647,-1.0661176,-56.641945,0.045838874,133.51053,-0.3961183
-28.813198,-0.8316835,-207.48428,-1.02792,98.2005,10.655802,0.0,-0.77609134,169.9102,-0.9894784,-139.14604,-0.68576056,97.634964,-0.4050093,-6.6629357,-0.93342227,-65.6467,0.0249089,135.26485,0.015158491
4.0854754,-0.7842256,-200.05873,-0.992113,115.87947,10.589892,0.0,-0.76768035,189.80627,-1.0069826,-114.87573,-0.7142209,113.659035,-0.46043503,16.051596,-0.8983807,-56.587708,-0.07427014,156.98611,0.39267522
35.042503,-0.9945544,-181.96387,-1.1900388,141.81073,10.399266,0.0,-1.0272871,215.99278,-1.2502327,-84.79007,-0.9920644,135.57217,-0.7734778,41.35304,-1.1000041,-39.17991,-0.21073583,187.47794,0.23086414
52.715286,-1.4638435,-163.50168,-1.6299826,164.49301,10.053143,0.0,-1.5496494,237.08368,-1.7170355,-60.811417,-1.5070198,154.08115,-1.3455426,57.231453,-1.5510654,-24.45824,-0.32674915,214.04143,-0.6838373
51.869038,-2.0278857,-152.83165,-2.159027,176.41504,9.64962,0.0,-2.1611829,245.94482,-2.2590714,-50.21301,-2.0896306,163.11465,-2.0292857,57.542557,-2.1055892,-19.702703,-0.37681502,228.02629,-2.262604
34.6251,-2.440871,-153.5697,-2.5377913,176.00827,9.358158,0.0,-2.6046941,241.65979,-2.6544812,-53.777733,-2.4986217,161.45415,-2.5851145,43.70582,-2.529047,-26.229895,-0.35013157,227.39804,-4.1624312
8.317156,-2.5135098,-165.1127,-2.5742953,166.50705,9.307211,0.0,-2.6840158,228.23888,-2.7286806,-67.44717,-2.558828,151.95811,-2.7974088,22.4155,-2.627404,-40.79584,-0.2762597,215.52438,-5.8856745
-18.177977,-2.219815,-184.45279,-2.2394133,153.1954,9.496596,0.0,-2.3787549,211.60146,-2.4542487,-85.515305,-2.2646618,139.36697,-2.5909417,1.5087084,-2.3576136,-58.713364,-0.20962875,198.03838,-6.933268
-37.29427,-1.7180387,-207.44115,-1.7023705,141.24582,9.782971,0.0,-1.866753,197.23222,-1.9820168,-102.7451,-1.7938435,128.32477,-2.0894523,-12.993739,-1.8629313,-75.89118,-0.19746755,180.52762,-6.9731784
-43.974728,-1.282421,-228.82924,-1.2644141,135.02586,9.940888,0.0,-1.4454875,189.51286,-1.5864586,-114.642914,-1.4283242,122.45581,-1.581279,-17.508215,-1.4172032,-88.80722,-0.24895541,168.0393,-5.973723
-36.182808,-1.1716657,-242.50287,-1.2074305,137.7799,9.778599,0.0,-1.3836387,191.571,-1.5324483,-117.492485,-1.4131935,123.93718,-1.3863069,-10.608198,-1.2931598,-94.01918,-0.3266962,164.93451,-4.222922
-15.826368,-1.4780648,-243.62025,-1.616203,150.24876,9.271121,0.0,-1.7593992,204.04927,-1.905902,-109.90861,-1.8060694,132.62338,-1.6665144,6.2317896,-1.599206,-89.314384,-0.36991754,173.28236,-2.2444537
10.434028,-2.032901,-232.1382,-2.2773623,168.64041,8.637077,0.0,-2.3720698,223.11519,-2.5062852,-95.27695,-2.3979144,144.93831,-2.2847958,27.130047,-2.1716356,-76.3342,-0.33639252,190.2809,-0.6139282
32.347023,-2.4641006,-214.72057,-2.7627294,184.33353,8.263637,0.0,-2.8195598,240.11401,-2.9194944,-82.22286,-2.7953815,154.0747,-2.842084,42.040306,-2.6293287,-61.98194,-0.23328039,207.49765,0.24322398
40.156425,-2.431915,-202.29848,-2.7036998,187.1967,8.460165,0.0,-2.752033,244.80594,-2.7907996,-81.05464,-2.6731412,152.67578,-2.93028,40.619724,-2.6169899,-56.144176,-0.11312568,214.10672,0.19585991
29.921917,-1.912915,-203.91655,-2.0939236,171.3848,9.181246,0.0,-2.1575828,231.09058,-2.1332324,-97.627594,-2.0509949,137.04848,-2.4565394,18.251024,-2.0991597,-66.35007,-0.036227673,202.91667,-0.5682387
6.5573416,-1.2929902,-220.94374,-1.3660429,139.73514,9.962029,0.0,-1.4427314,201.38673,-1.4040248,-128.90726,-1.3589512,110.08846,-1.7750568,-20.002312,-1.4581348,-92.96696,-0.027632382,175.1029,-1.6360344
-17.976713,-1.1269813,-245.92407,-1.1173058,103.246315,10.194894,0.0,-1.1798006,166.21371,-1.2146311,-163.77884,-1.1680242,80.51194,-1.4641058,-60.934753,-1.2529589,-128.48146,-0.061761282,140.09065,-2.548689
-30.727064,-1.6990322,-266.97842,-1.6489372,75.52434,9.589942,0.0,-1.6665125,138.86949,-1.8504003,-188.8752,-1.7433296,58.546738,-1.875051,-89.78474,-1.7774383,-161.41354,-0.085695885,110.56148,-2.9754846
-24.62245,-2.7372782,-274.70325,-2.6861324,65.62347,8.452315,0.0,-2.6467474,128.52577,-2.9884763,-195.69089,-2.7781215,50.735725,-2.811265,-97.83972,-2.7726789,-182.22702,-0.061761055,95.887825,-2.8276725
-2.272112,-3.5524178,-267.09106,-3.5341337,73.63579,7.5164075,0.0,-3.449423,135.90463,-3.8787498,-184.68126,-3.5624897,56.96286,-3.6251588,-86.52621,-3.5625708,-187.66348,0.0047539286,97.90871,-2.2605174
25.273878,-3.5252306,-249.7897,-3.5714376,91.32892,7.435803,0.0,-3.4656007,153.71544,-3.8743474,-164.36005,-3.4878805,71.14831,-3.6842294,-65.97276,-3.5364957,-181.41087,0.07181779,110.95469,-1.5643557
43.933895,-2.5653727,-232.20053,-2.6974187,106.96562,8.320544,0.0,-2.5957534,171.05363,-2.8999994,-146.49014,-2.4983582,84.79313,-2.8446555,-49.36095,-2.6045218,-171.3476,0.09187943,125.40343,-1.0019213
43.205364,-1.190153,-222.25928,-1.399858,111.24895,9.666951,0.0,-1.3271792,178.92749,-1.5054575,-140.37471,-1.1429151,91.16324,-1.5689236,-46.434772,-1.2754238,-165.31195,0.041801967,132.42186,-0.6546063
20.57026,-0.18204871,-223.0912,-0.42074957,101.11293,10.7030115,0.0,-0.40199253,173.87102,-0.48973897,-149.30391,-0.20642532,87.89298,-0.6143482,-59.57985,-0.31624767,-167.80826,-0.066920646,127.37594,-0.34901777
-18.295769,-0.09552652,-233.13934,-0.28854752,79.70457,10.870243,0.0,-0.33756632,158.08847,-0.39381263,-170.61555,-0.20758244,76.93524,-0.53884465,-84.15754,-0.26171666,-179.18785,-0.1960971,110.48475,0.2973462
-62.960403,-0.9418525,-248.8138,-1.0239261,53.424232,10.123888,0.0,-1.1233428,136.89424,-1.1979244,-198.45216,-1.1007582,62.47138,-1.3616579,-112.1601,-1.1040576,-197.0201,-0.2969445,85.17957,1.7218363
-102.68394,-2.2118416,-266.8906,-2.1595361,28.717121,8.91083,0.0,-2.2544887,115.88625,-2.3714213,-226.62126,-2.3346279,48.654945,-2.5693603,-136.24844,-2.3262758,-217.77829,-0.32745925,56.175114,4.2037253
-129.19687,-3.182163,-284.39438,-3.023205,10.967127,7.8879004,0.0,-3.0472028,99.96136,-3.2028842,-249.41386,-3.1921892,38.8795,-3.4320335,-151.42735,-3.2210453,-237.08452,-0.2698839,29.06429,7.6864934
-137.17308,-3.33032,-296.47885,-3.1293805,5.397554,7.5444713,0.0,-3.048744,94.0373,-3.2190888,-260.70334,-3.2118301,36.55321,-3.4407961,-154.13205,-3.3070858,-248.79369,-0.1424321,11.123958,11.714914
-124.03108,-2.6495938,-295.49014,-2.4855857,17.470198,7.9140654,0.0,-2.3236516,103.20945,-2.4781706,-253.91579,-2.4700172,45.553978,-2.6287138,-141.21866,-2.623459,-245.23807,0.0062677828,10.903011,15.531224
-90.8923,-1.6737411,-274.02274,-1.6198454,50.501183,8.547759,0.0,-1.4354044,130.39914,-1.5544624,-224.96973,-1.5514619,68.57783,-1.5748324,-111.448326,-1.7191132,-220.50938,0.12300859,34.64109,18.306576
-44.41227,-1.1443439,-231.02246,-1.2497456,101.31756,8.815331,0.0,-1.0879103,172.43375,-1.1732061,-176.98276,-1.1777608,103.834526,-1.0436884,-69.050415,-1.2983996,-175.55878,0.1798693,80.841965,19.427517
2.9926825,-1.4893337,-176.11012,-1.7593215,157.89067,8.380161,0.0,-1.6223599,218.21158,-1.6912929,-122.51665,-1.6946298,142.9898,-1.4551547,-25.690325,-1.7162516,-120.987785,0.18353353,137.42258,18.726362
36.67255,-2.481721,-127.40166,-2.8641956,202.5325,7.499469,0.0,-2.7308445,252.0466,-2.7987192,-79.81975,-2.7845435,173.23245,-2.5563154,2.6913006,-2.6868231,-74.01074,0.15707564,185.2208,16.557484
46.223244,-3.381893,-102.792435,-3.777275,220.12016,6.8647075,0.0,-3.648679,261.38773,-3.7156131,-63.979946,-3.669246,183.3676,-3.5789418,3.6877763,-3.4715462,-50.27753,0.11420752,207.10635,13.69123
31.087624,-3.5016613,-110.14731,-3.803643,206.32855,7.0529156,0.0,-3.7242074,244.10652,-3.779675,-78.452965,-3.695194,170.27676,-3.8049128,-24.057974,-3.446201,-55.591297,0.052951917,197.18167,11.052089
1.2445469,-2.7540934,-143.17867,-2.9036806,170.13095,8.022013,0.0,-2.9286997,210.1539,-2.9679492,-112.905205,-2.8515697,141.16539,-3.1109574,-69.23033,-2.6066856,-83.10427,-0.027532905,163.87746,9.403735
